Area name,GLA Population Estimate 2015,"Median House Price, 2014",New Homes (net) 2013/14,Percent Rent,GLA Household Estimate 2015,Inland Area (Hectares),Population density (per hectare) 2015,Employment rate (%) (2014),Male employment rate (2014),Female employment rate (2014),Unemployment rate (2014),"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),Modelled Household median income estimates 2012/13,Crime rates per thousand population 2014/15,Fires per thousand population (2014),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2013),"Number of cars, (2011 Census)","Number of cars per household, (2011 Census)"
Richmond upon Thames,196200,535000,360,30.6,82890,5740.7,34.2,78.1,86,70.5,4.9,39868,43895,,76610,56.3,1.5,30.9,38,8.7,21.9,50.8,880.9,84918,1.1
Southwark,306700,420000,1650,63.6,127450,2886.2,106.3,72,77.4,66.7,8.9,32983,35711,30850,48000,100.6,3,10.1,26,37.2,26.4,24.9,1454.5,60438,0.5
Sutton,201200,285000,300,32.1,82670,4384.7,45.9,78.1,86.9,69.8,4.9,31332,34669,27895,49170,55.9,2,25.7,42,11.6,20.5,32,774.4,91266,1.2
Tower Hamlets,287100,383000,660,73.1,112280,1978.1,145.1,68.7,77.3,59.3,10.3,35276,37787,31500,45720,99.9,3.5,7,20,41.6,31.5,15.2,1948.3,43589,0.4
Waltham Forest,273900,320000,390,49.9,102230,3880.8,70.6,67.8,72.8,62.7,9,27893,29819,25552,39460,78,2.2,20.6,29,19.9,30,31.4,850.5,76217,0.8
Wandsworth,318000,532500,1200,50.5,134390,3426.4,92.8,79.4,84,75,4.2,39014,42042,35865,66220,72.6,1.8,17.7,30,19.3,31.2,26.9,1162.6,89513,0.7
Westminster,235000,875000,530,71.1,112360,2148.7,109.4,66.3,74.8,57.1,5.9,40389,44149,,80760,212.4,4,17.1,12,27.8,43.3,38.2,3048.4,48810,0.5
London,8663300,365000,23580,49.9,3440410,157214.7,55.1,71.2,78.6,63.9,7,32781,35275,30179,51770,84,2.3,22,28,23.1,26.8,38.3,41159.7,2664414,0.8
Inner London,3439700,465000,12930,63,1441840,31929.2,107.7,70.8,77,64.5,7.3,34365,36563,32056,56890,106.4,2.6,14.6,22,32.1,30.9,21.7,19229.8,725356,0.5
Outer London,5223500,318000,10650,40.6,1998570,125423.6,41.6,71.5,79.7,63.5,6.9,31906,34712,28757,48530,69.4,2.1,27.3,32,16.7,23.9,42.5,21929.8,1939058,1
England,54613400,198000,136610,36,22940030,13303728.3,4.1,72.5,77.7,67.4,6.2,27500,29836,24024,30763.33333,65.7,,32.1,32,17.5,18.5,87.5,361360.1,25696833,1.1
United Kingdom,64937600,195000,1,35.8,,,,72.2,77.2,67.4,6.2,27195,29441,23889,39430,,,32.3,32,17.9,17.9,,445928.8,30333100,1.1
National comparator,54613400,195000,136610,35.8,22940030,13303728.3,4.1,72.5,77.7,67.4,6.2,27500,29836,24024,39430,65.7,,32.3,31.8,17.9,17.9,87.5,445928.8,30333100,1.1
